pancreatic	4
cancer	3
patients	3
treatment	3
survival	3
cells	3
chemotherapy	3
advanced	3
cell	3
combination	3
tumor	3
therapy	3
study	3
response	3
months	3
expression	3
disease	3
clinical	3
median	3
after	3
phase	3
growth	3
metastatic	3
treated	3
human	3
toxicity	3
activity	3
efficacy	3
dose	2
adenocarcinoma	2
group	2
results	2
rate	2
apoptosis	2
locally	2
compared	2
alone	2
effect	2
effects	2
agents	2
lines	2
drug	2
days	2
grade	2
patient	2
trial	2
studies	2
inhibition	2
adjuvant	2
combined	2
